bucket,n,median_spread_volbp,p25_spread_volbp,p75_spread_volbp,median_spread_volbp_american,median_rel_spread_pct
"near-ATM (|log S/K| < 2%), front 3 expiries",20,24.40051741687779,16.036481666863516,44.18790550893448,24.432109016925274,1.1976047904191574
"near-ATM (|log S/K| < 2%), all expiries",50,25.169799363926884,18.31450656216392,38.486544212021975,25.201887730509355,1.0380653909357895
"|log S/K| 2-4%, all expiries",76,28.892479791557676,19.905930251478615,39.03676432862838,29.108686652034585,1.2489278195097853
"|log S/K| 4-6%, all expiries",82,32.72320959201977,21.151001350425553,48.848740432140964,33.49926946684706,1.3282174542621292
all invertible legs,208,29.894227706563914,19.30941897681136,41.30909610566211,29.88580809906133,1.2601300962394626
