cp,r,q,moneyness,days,sigma,european,american,premium,premium_pct,premium_bp,vega
call,0.0,0.0,0.85,30,0.2,0.004213564096771816,0.004213569122291217,5.02551940166629e-9,0.00011927003568111249,0.0002250381487062214,0.22331855423441607
call,0.0,0.0,0.85,30,0.4,0.4385812588347928,0.43858129245691224,3.362211942192772e-8,7.666109471082685e-6,7.410577873134087e-5,4.537044208633116
call,0.0,0.0,0.85,91,0.2,0.2357004777649303,0.2357005104941028,3.272917248331453e-8,1.3885916903382823e-5,5.701842600942367e-5,5.740104519529396
call,0.0,0.0,0.85,91,0.4,2.534245929592366,2.534245914509391,-1.508297486907395e-8,-5.951661870282673e-7,9.769134414366833e-6,15.439417894478346
call,0.0,0.0,0.85,365,0.2,2.54272709814369,2.542727082855259,-1.5288430965654243e-8,-6.012611804395177e-7,4.939901552540057e-6,30.948857589668073
call,0.0,0.0,0.85,365,0.4,9.809266654935705,9.809266498074882,-1.5686082299737336e-7,-1.5991085624983605e-6,4.0164827208442604e-5,39.0542755688493
call,0.0,0.0,0.85,730,0.2,5.363181272403768,5.363181194638549,-7.776521915303647e-8,-1.4499830455699336e-6,1.5139272223942226e-5,51.36655052021161
call,0.0,0.0,0.85,730,0.4,16.37624480934233,16.376244558380726,-2.5096160527482425e-7,-1.532473458943747e-6,4.448222736767959e-5,56.418399015956396
call,0.0,0.0,1.0,30,0.2,2.2871506280449694,2.2871505987255705,-2.931939890871149e-8,-1.28191814518895e-6,2.5645388267593823e-5,11.432620400510856
call,0.0,0.0,1.0,30,0.4,4.57242230723562,4.572422248741432,-5.849418727166267e-8,-1.2792822565645057e-6,5.122740527950848e-5,11.418534074194262
call,0.0,0.0,1.0,91,0.2,3.9822992789311584,3.98229922795639,-5.097476840631998e-8,-1.2800335895397976e-6,2.562195784728966e-5,19.894954441083897
call,0.0,0.0,1.0,91,0.4,7.954684509454552,7.954684408184216,-1.0127033611695424e-7,-1.2730905417630232e-6,5.109324013486449e-5,19.820691709831575
call,0.0,0.0,1.0,365,0.2,7.965567455405804,7.965567354007154,-1.0139864947689148e-7,-1.2729620337101992e-6,2.554427478079446e-5,39.69525474770118
call,0.0,0.0,1.0,365,0.4,15.851941887820608,15.8519416904869,-1.973337084848481e-7,-1.2448551091173497e-6,5.0463468957492896e-5,39.104269397545586
call,0.0,0.0,1.0,730,0.2,11.246291601828489,11.246291459723164,-1.4210532484071337e-7,-1.2635749620577955e-6,2.5440651739144166e-5,55.857580339446855
call,0.0,0.0,1.0,730,0.4,22.270258921047848,22.27025865200897,-2.6903887828666484e-7,-1.2080635399905183e-6,4.963199806642529e-5,54.206739355243165
