contract,K,T,sigma,premium,vega,bp10_cents,bp100_cents,bp100_pct_premium
30d ATM,100.0,0.0821917808219178,0.25,3.0211408989744584,11.399205421747823,1.1399205421747822,11.399205421747823,3.7731459084272903
1y ATM,100.0,1.0,0.25,11.837046440824082,38.30648307629438,3.8306483076294375,38.30648307629438,3.2361521320201496
30d 25-delta put,92.0,0.0821917808219178,0.28,0.5487294505942035,6.109791909672348,0.6109791909672347,6.109791909672348,11.134434106017506
2y deep-ITM put,140.0,2.0,0.25,34.687019083191274,48.535929045470105,4.8535929045470105,48.535929045470105,1.399253390124543
