days,cp,moneyness,t0,annual,ndiv,exdate_inside,reference,scalar_bp,matched_bp,schedule_bp
7,call,0.9,0.02,0.02,0,false,0.0043681338475331484,9.156473425750574,0.016898265814767693,0.016898265814767693
7,call,0.9,0.02,0.04,0,false,0.0043681338475331484,18.019457342611393,0.016898265814767693,0.016898265814767693
7,call,0.9,0.1,0.02,0,false,0.0043681338475331484,9.156473425750574,0.016898265814767693,0.016898265814767693
7,call,0.9,0.1,0.04,0,false,0.0043681338475331484,18.019457342611393,0.016898265814767693,0.016898265814767693
7,call,0.9,0.2,0.02,0,false,0.0043681338475331484,9.156473425750574,0.016898265814767693,0.016898265814767693
7,call,0.9,0.2,0.04,0,false,0.0043681338475331484,18.019457342611393,0.016898265814767693,0.016898265814767693
7,call,1.0,0.02,0.02,0,false,1.5848763164344541,35.66812032175726,0.01320096639932489,0.01320096639932489
7,call,1.0,0.02,0.04,0,false,1.5848763164344541,70.80472190725507,0.01320096639932489,0.01320096639932489
7,call,1.0,0.1,0.02,0,false,1.5848763164344541,35.66812032175726,0.01320096639932489,0.01320096639932489
7,call,1.0,0.1,0.04,0,false,1.5848763164344541,70.80472190725507,0.01320096639932489,0.01320096639932489
7,call,1.0,0.2,0.02,0,false,1.5848763164344541,35.66812032175726,0.01320096639932489,0.01320096639932489
7,call,1.0,0.2,0.04,0,false,1.5848763164344541,70.80472190725507,0.01320096639932489,0.01320096639932489
7,call,1.1,0.02,0.02,0,false,9.16855326202462,1558.6825134186674,0.010041659950366608,0.010041659950366608
7,call,1.1,0.02,0.04,0,false,9.16855326202462,2942.466086434306,0.010041659950366608,0.010041659950366608
7,call,1.1,0.1,0.02,0,false,9.16855326202462,1558.6825134186674,0.010041659950366608,0.010041659950366608
7,call,1.1,0.1,0.04,0,false,9.16855326202462,2942.466086434306,0.010041659950366608,0.010041659950366608
7,call,1.1,0.2,0.02,0,false,9.16855326202462,1558.6825134186674,0.010041659950366608,0.010041659950366608
7,call,1.1,0.2,0.04,0,false,9.16855326202462,2942.466086434306,0.010041659950366608,0.010041659950366608
7,put,0.9,0.02,0.02,0,false,11.111111111111073,2.6684460153275573e-9,2.6684460153275573e-9,2.6684460153275573e-9
7,put,0.9,0.02,0.04,0,false,11.111111111111073,107.51072688370706,2.6684460153275573e-9,2.6684460153275573e-9
7,put,0.9,0.1,0.02,0,false,11.111111111111073,2.6684460153275573e-9,2.6684460153275573e-9,2.6684460153275573e-9
7,put,0.9,0.1,0.04,0,false,11.111111111111073,107.51072688370706,2.6684460153275573e-9,2.6684460153275573e-9
7,put,0.9,0.2,0.02,0,false,11.111111111111073,2.6684460153275573e-9,2.6684460153275573e-9,2.6684460153275573e-9
7,put,0.9,0.2,0.04,0,false,11.111111111111073,107.51072688370706,2.6684460153275573e-9,2.6684460153275573e-9
7,put,1.0,0.02,0.02,0,false,1.51236705966705,29.819455324010825,0.1396564013071112,0.1396564013071112
7,put,1.0,0.02,0.04,0,false,1.51236705966705,60.540413133911315,0.1396564013071112,0.1396564013071112
7,put,1.0,0.1,0.02,0,false,1.51236705966705,29.819455324010825,0.1396564013071112,0.1396564013071112
7,put,1.0,0.1,0.04,0,false,1.51236705966705,60.540413133911315,0.1396564013071112,0.1396564013071112
7,put,1.0,0.2,0.02,0,false,1.51236705966705,29.819455324010825,0.1396564013071112,0.1396564013071112
7,put,1.0,0.2,0.04,0,false,1.51236705966705,60.540413133911315,0.1396564013071112,0.1396564013071112
7,put,1.1,0.02,0.02,0,false,0.00794131035069443,9.802536094257883,0.07289529219024746,0.07289529219024746
7,put,1.1,0.02,0.04,0,false,0.00794131035069443,19.82751363776824,0.07289529219024746,0.07289529219024746
7,put,1.1,0.1,0.02,0,false,0.00794131035069443,9.802536094257883,0.07289529219024746,0.07289529219024746
7,put,1.1,0.1,0.04,0,false,0.00794131035069443,19.82751363776824,0.07289529219024746,0.07289529219024746
7,put,1.1,0.2,0.02,0,false,0.00794131035069443,9.802536094257883,0.07289529219024746,0.07289529219024746
7,put,1.1,0.2,0.04,0,false,0.00794131035069443,19.82751363776824,0.07289529219024746,0.07289529219024746
14,call,0.9,0.02,0.02,1,true,0.051789822499513125,94.41278421909144,4.555507727200468,0.17506912074566425
14,call,0.9,0.02,0.04,1,true,0.04116830832284036,202.2291338707045,7.984090298203549,0.3544409610612376
14,call,0.9,0.1,0.02,0,false,0.06494169720041297,17.09369528981497,0.0019036099115949845,0.0019036099115949845
