pvfrac,cp,ignore_p50,ignore_p95,matched_p50,matched_p95
0.0,call,0.010430114574026383,0.019384219664143495,0.010430114574026383,0.019384219664143495
0.0,put,0.21319152969846117,0.7816562632856546,0.21319152969846117,0.7816562632856546
0.0,pooled,0.019256000784653417,0.43994612823215706,0.019256000784653417,0.43994612823215706
0.0025,call,58.83729307649223,741.4885347460252,4.825614515092382,347.4252143744509
0.0025,put,36.43464101646809,737.6573996208973,7.343642868263073,517.4033672422545
0.0025,pooled,48.131303379111344,946.2532926378262,4.965979655326923,597.3351800097772
0.005,call,117.20845009601702,963.1665669274369,9.975940711385404,554.4054927967596
0.005,put,94.97649674892608,3081.879486054023,16.341994957099395,1645.3947281276771
0.005,pooled,105.61032145504294,1368.894862248676,11.72642429904074,837.4150105539392
0.0075,call,173.9138252324525,987.5570336156272,15.14621670459615,618.0097596044757
0.0075,put,142.31953821105725,5966.9841144561515,25.772780632666777,1936.2931465899019
0.0075,pooled,157.82545340069737,1741.0004159223529,20.36451682763717,859.2686283582173
0.01,call,225.6077301950012,975.1824059120652,21.043655514922968,713.706368700384
0.01,put,189.5219633008558,9515.406533267611,36.83318240491856,2403.8856490440107
0.01,pooled,209.66304540863803,2130.274507834066,32.155335629362355,1018.9551470634894
0.015,call,318.7987723955523,921.347842662685,31.526833159616807,798.906210912187
0.015,put,283.6648119743584,19239.78692096932,54.66036504551418,3184.1094780910107
0.015,pooled,312.3473179031083,2367.7594842679673,50.75433346169501,1120.037799544814
0.02,call,402.051829204422,893.1223976646854,44.83305555344058,812.6385243131733
0.02,put,333.2777653320021,3568.1318245594593,73.84250890419719,542.1147764076469
0.02,pooled,401.4903813706587,2051.9149392353315,67.33811539823299,810.7716884444155
0.03,call,610.0174297341647,857.8025117930587,107.26488821585222,649.4322347407548
0.03,put,591.5992927831692,6850.267918018815,105.6637215125691,675.6563744725147
0.03,pooled,600.808361258667,3353.8638880260482,106.46430486421066,703.7101250697551
