days,tfrac,schedule_p50,schedule_p95,yieldLR_p50,yieldLR_p95,yieldFD_p50,yieldFD_p95
30,0.15,1.7543685671521998,20.396291573757214,18.66037226458131,2137.1798172238896,18.990189298023793,2137.2121743942994
30,0.5,1.9097990100706552,12.122779863502014,45.076396387776825,1339.302570014902,45.40614378466291,1339.334567356849
30,0.85,3.6016481726674505,18.5273883400721,140.01700448703247,962.262358095958,141.66405303449633,962.2592615754756
91,0.15,0.5241507058883275,6.40222243499125,25.9735594139723,407.6182635265768,25.582290872146455,407.84725489651834
91,0.5,1.000579984648939,7.1148114704748355,57.52402341940481,481.5149820987824,58.019841695300066,479.8609417244875
91,0.85,2.043094806078816,9.106545400123194,117.40265704750148,712.3672651815493,118.75654486859943,709.1420229211427
365,0.15,0.14478693384813324,2.265563378777966,23.709232548401623,156.3607873531102,23.31824184475513,155.86167806657565
365,0.5,0.48121822343678433,2.977036546795991,31.982321548875134,81.67403366880419,32.52094580538964,81.68202445805278
365,0.85,2.0887905257403343,7.337780512622851,66.76392543488345,255.29747158347928,67.43112169684844,255.47047147864285
730,0.15,0.30338965275542173,3.5391596190729286,25.592308402529483,101.64772543852982,25.435448303466423,100.39936676410775
730,0.5,0.7076960353327508,4.296316808767524,23.057077554727897,60.76506127203184,23.44660726855286,61.135513913070376
730,0.85,2.582072073636259,6.371154835917745,56.68093795462218,117.00393842795157,57.28508902633661,117.25975178792828
