K,cp,cash_price,prop_vol
50.0,call,51.47919049157377,0.28167636255721085
50.0,put,0.11056929177573216,0.3137977720039261
75.0,call,28.063159852620537,0.2886829303508347
75.0,put,2.709773774556809,0.3127015471321849
90.0,call,16.965307211930927,0.2948149556920624
90.0,put,7.750342185567618,0.3124697290093892
100.0,call,11.654755483919423,0.298856849170015
100.0,put,12.902145133810517,0.3124004804199806
110.0,call,7.861878782686273,0.3023911105396462
110.0,put,19.3426734651404,0.3123618689462506
125.0,call,4.262244378778187,0.30615494441467117
125.0,put,30.878486238820116,0.31231602408067194
150.0,call,1.4720765158688978,0.3088395296468368
150.0,put,53.06537050347711,0.31221547088477375
