cp,days,divfrac,tfrac,moneyness,lattice,fd,absdiff,volbp
call,30,0.005,0.25,0.9,0.3582846085183544,0.35827879292132236,5.815597032055031e-6,0.011801638168854177
call,30,0.005,0.25,1.0,3.107849025905473,3.107837531914616,1.1493990857314174e-5,0.01010177411500205
call,30,0.005,0.25,1.1,9.425920543089646,9.425927225003287,6.681913641060078e-6,0.012150337189656751
call,30,0.005,0.6,0.9,0.36124376024949334,0.36124010236345855,3.6578860347913356e-6,0.0074222441236790945
call,30,0.005,0.6,1.0,3.1524730677252055,3.1525206473131964,4.75795879908425e-5,0.041816295907681364
call,30,0.005,0.6,1.1,9.582524161976469,9.582618735605564,9.457362909515155e-5,0.17198584147628185
call,30,0.005,0.85,0.9,0.3730182459569307,0.37303324071908284,1.4994762152109598e-5,0.03042383916288915
call,30,0.005,0.85,1.0,3.248063549849527,3.2481581431714583,9.459332193140213e-5,0.08313501705836845
call,30,0.005,0.85,1.1,9.703885830858589,9.704040417268677,0.00015458641008869733,0.281137675687229
call,30,0.01,0.25,0.9,0.313476322026392,0.31346812202039,8.200006001990445e-6,0.018173409256363425
call,30,0.01,0.25,1.0,2.8752452009120377,2.875243211396995,1.9895150429327657e-6,0.001758752238342587
call,30,0.01,0.25,1.1,9.302238285348816,9.30232095023077,8.266488195474153e-5,0.14034764098751099
call,30,0.01,0.6,0.9,0.3212388027091188,0.32124077114762956,1.968438510746573e-6,0.004361680717961231
call,30,0.01,0.6,1.0,3.017082109061594,3.0171484556077597,6.63465461658852e-5,0.05864999183356649
call,30,0.01,0.6,1.1,9.52624811640214,9.526345677366983,9.756096484281329e-5,0.16566353008698662
call,30,0.01,0.85,0.9,0.3504033124956266,0.3504666783368449,6.336584121829913e-5,0.1403856933328322
call,30,0.01,0.85,1.0,3.1945121484631693,3.1947264743538044,0.0002143258906350809,0.1894605150695648
call,30,0.01,0.85,1.1,9.682088584238736,9.682304166479605,0.000215582240869594,0.3661098795140134
call,30,0.02,0.25,0.9,0.23772695683136127,0.237716075584257,1.0881247104271852e-5,0.029148785522938064
call,30,0.02,0.25,1.0,2.505336970229531,2.505434210910885,9.724068135374964e-5,0.08802244327877587
call,30,0.02,0.25,1.1,9.224651518094701,9.224672569650748,2.1051556046813857e-5,0.03149892870641773
call,30,0.02,0.6,0.9,0.25931729360585426,0.25933101128024627,1.3717674392010881e-5,0.03673025845556269
call,30,0.02,0.6,1.0,2.8444798270485396,2.844589330129603,0.00010950308106316697,0.09911513677735208
call,30,0.02,0.6,1.1,9.474103424091751,9.474208575609005,0.0001051515172534323,0.15737870850120034
call,30,0.02,0.85,0.9,0.3229696099747702,0.3230315513678272,6.194139305698565e-5,0.16579941223851233
call,30,0.02,0.85,1.0,3.137487300742676,3.1378401211322395,0.00035282038956374606,0.31933363598471287
call,30,0.02,0.85,1.1,9.662057485989449,9.662260740579853,0.00020325459040471117,0.3042675434321951
call,91,0.005,0.25,0.9,2.0295744836003786,2.029555406031209,1.9077569169745345e-5,0.011874893951852377
call,91,0.005,0.25,1.0,5.788652695346029,5.788628349198871,2.4346147157849884e-5,0.012351877643384527
call,91,0.005,0.25,1.1,11.332543107877713,11.332531826850323,1.1281027390452891e-5,0.007758824792068391
call,91,0.005,0.6,0.9,2.0376587587530457,2.0376429054113294,1.5853341716276503e-5,0.009866992059246446
