days,cp,eu_cash,eu_yield,eu_diff_bp,prem_cash,prem_smeared,retained_pct
30,call,2.3615517825846433,2.3308436587568693,27.944369084349656,0.3223774855173116,0.1792366742085565,55.59838458350763
30,put,4.1926476005941895,4.1603003631507605,29.43596121495127,0.015562929980160511,-3.687409133590336e-8,-0.0002369354060123006
91,call,4.818691289896915,4.765609951795433,27.344494318648895,0.21099304417532316,0.1445254614962268,68.49773747808217
91,put,6.308873106753105,6.250848787317516,29.89083790835449,0.049859291533183914,-6.858422274547138e-8,-0.0001375555501020809
365,call,10.806053279295526,10.708182465388617,25.78264064932314,0.08075355149216179,0.09057626350719516,112.16381426392968
365,put,10.806020930949511,10.68883792825006,30.870155546906826,0.24947853004499088,0.09358003434905271,37.510255624873416
730,call,15.744211223518361,15.618870053762102,24.32424166941486,0.058846165536213135,0.09809793508922127,166.7023402380451
730,put,13.86043101411859,13.69779346996662,31.562135060376555,0.5793703743631902,0.4340390754451846,74.91564889251626
