case,cp,S,K,r,q,sigma,T,american,european,diff,diff_bp
q=0 call,call,100.0,142.85714285714286,0.05,0.0,0.3,0.2493150684931507,0.06540551252942085,0.06540547738500435,3.514441650198652e-8,0.00020875465898863486
q=0 call,call,100.0,142.85714285714286,0.08,0.0,0.3,0.2493150684931507,0.07533784314987388,0.0753378059244727,3.7225401178231365e-8,0.00019813233861074378
q=0 call,call,100.0,142.85714285714286,0.0,0.0,0.6,0.2493150684931507,2.0327770553933195,2.03277698998153,6.541178976249284e-8,5.643894493705768e-5
q=0 call,call,100.0,142.85714285714286,0.02,0.0,0.6,0.2493150684931507,2.0977417743724653,2.097741712174157,6.219830828158024e-8,5.2751969343586475e-5
q=0 call,call,100.0,142.85714285714286,0.05,0.0,0.6,0.2493150684931507,2.198256258096381,2.198256200868819,5.722756180048805e-8,4.732567304845775e-5
q=0 call,call,100.0,142.85714285714286,0.08,0.0,0.6,0.2493150684931507,2.3025271368452542,2.3025270847742387,5.2071015499421947e-8,4.201358536527362e-5
q=0 call,call,100.0,142.85714285714286,0.0,0.0,0.15,1.0,0.05201120201091125,0.05201117017392165,3.183698960018688e-8,0.0001131259804421713
q=0 call,call,100.0,142.85714285714286,0.02,0.0,0.15,1.0,0.0761923359478387,0.07619229852056719,3.74272715042423e-8,9.870320101513912e-5
q=0 call,call,100.0,142.85714285714286,0.05,0.0,0.15,1.0,0.13137933106527505,0.1313792859630234,4.510225165565984e-8,7.862974006783873e-5
q=0 call,call,100.0,142.85714285714286,0.08,0.0,0.15,1.0,0.21919840942283256,0.21919835904787321,5.037495934279157e-8,6.042555533613359e-5
q=0 call,call,100.0,142.85714285714286,0.0,0.0,0.3,1.0,2.0423316952776647,2.04233163007577,6.520189455017089e-8,2.8036737176965068e-5
q=0 call,call,100.0,142.85714285714286,0.02,0.0,0.3,1.0,2.3135233058629665,2.3135232540689987,5.1793967781321726e-8,2.0827244891655273e-5
q=0 call,call,100.0,142.85714285714286,0.05,0.0,0.3,1.0,2.7722950969599838,2.7722950675341522,2.9425831549190207e-8,1.0790177409505393e-5
q=0 call,call,100.0,142.85714285714286,0.08,0.0,0.3,1.0,3.2981074095832073,3.2981074045885883,4.994618940656892e-9,1.6869116787850205e-6
q=0 call,call,100.0,142.85714285714286,0.0,0.0,0.6,1.0,11.914905193144087,11.914905349990647,-1.5684656062830982e-7,4.105753083924589e-5
q=0 call,call,100.0,142.85714285714286,0.02,0.0,0.6,1.0,12.452438698712289,12.452438870918556,-1.7220626702396657e-7,4.466273717967764e-5
q=0 call,call,100.0,142.85714285714286,0.05,0.0,0.6,1.0,13.286470214059555,13.286470407889514,-1.9382995830596883e-7,4.968095072548626e-5
q=0 call,call,100.0,142.85714285714286,0.08,0.0,0.6,1.0,14.153495716627464,14.153495930194648,-2.1356718349352377e-7,5.423277974205697e-5
q=0 call,call,100.0,142.85714285714286,0.0,0.0,0.15,2.0,0.48309735335829945,0.4830972766677144,7.669058504911064e-8,4.701039391519741e-5
