scenario,p50,p95,maxbp,n
"pricer error, correct dividend",0.17223497973362192,0.5950972603795273,0.6768323376808342,24
ex-date off by 1 week,4.560886660224197,42.92868420533254,73.14170339288768,24
ex-date off by 1 month,20.04296880742818,186.02548799060258,304.77219115667066,24
amount off by +10%,27.149174469784406,170.9711073304695,209.51962313518322,24
amount off by -10%,27.03808753029201,171.4250542111016,208.80339035013577,24
amount off by +25%,67.031776957163,429.14437715095136,524.6145043197605,24
amount off by -25%,67.27114814928251,426.8082768324632,521.1513705813416,24
dividend suspended entirely,277.289685115107,1661.9531345659113,2063.9020927724287,24
