cp,divpct,moneyness,days,tfrac,sigma_cash,european,const_yield,cash_jump,missed,missed_pct,premium_captured_pct
call,0.02,0.9,30,0.5,0.29704463538125925,0.31952953488822367,0.3298665848979809,0.3260981821713753,-0.0037684027266055575,-1.155603720791408,157.36953993969775
call,0.02,0.9,91,0.5,0.2970347237721379,2.0166490238326595,2.0360910079264722,2.0311977302812636,-0.004893277645208638,-0.24090602171611608,133.6337643658907
call,0.02,0.9,365,0.5,0.2969896620325915,8.677672691741108,8.67768510597665,8.677596836118763,-8.826985788701336e-5,-0.0010172154751371682,NaN
call,0.02,1.0,30,0.5,0.29696506982689974,2.6529741563695666,2.805152681928355,2.9451076212705942,0.13995493934223902,4.752116300655217,52.09212358137245
call,0.02,1.0,91,0.5,0.2969548000374098,5.500901061248037,5.576431666290961,5.643096437194034,0.06666477090307232,1.1813509062804646,53.11748327991322
call,0.02,1.0,365,0.5,0.29690810611393526,13.008389167586579,13.008438196862024,13.008285416051047,-0.00015278081097669372,-0.0011744884593950869,NaN
call,0.02,1.2,30,0.5,0.2968203281528956,15.087093971274328,16.666666666666657,16.84178882492558,0.1751221582589224,1.0398073511036097,90.01979415996348
call,0.02,1.2,91,0.5,0.2968094010679091,16.507239938744604,16.952993473583874,17.505266017178094,0.5522725435942206,3.154893750556375,44.663515760923595
call,0.02,1.2,365,0.5,0.296759711414574,22.440127132074053,22.44054031497921,22.440006127894904,-0.0005341870843054153,-0.002380512203342822,NaN
call,0.04,0.9,30,0.5,0.2940331459530626,0.18199422823728284,0.20120197989773567,0.2083091128769438,0.007107132979208147,3.411820482096049,72.9919660430641
call,0.04,0.9,91,0.5,0.29401298133176124,1.5622606773316505,1.6328154309230867,1.649379308679236,0.016563877756149425,1.004249154150793,80.98698579174996
call,0.04,0.9,365,0.5,0.29392127553784053,7.785928877971358,7.810094552230128,7.81231378363167,0.002219231401542565,0.028406839036500174,91.58901142147839
call,0.04,1.0,30,0.5,0.2938706095603424,1.8603749800827174,2.2360077317515157,2.6661904138694563,0.43018268211794064,16.134732158668825,46.61523419868009
call,0.04,1.0,91,0.5,0.29384969209991585,4.537037850413881,4.8306238745989685,5.121193423866588,0.29056954926761946,5.673863984778659,50.25819105855984
call,0.04,1.0,365,0.5,0.2937545521166093,11.838129501161113,11.889767557051702,11.954903649337659,0.0651360922859574,0.5448483249763887,44.22045178400206
call,0.04,1.2,30,0.5,0.29357441257743366,13.151142629561718,16.666666666666657,16.83968943675513,0.17302277008847256,1.0274700773924286,95.30918870946566
call,0.04,1.2,91,0.5,0.29355210709005497,14.748887296650281,16.666666666666657,17.388342190107316,0.7216755234406591,4.150341162777664,72.65816039404098
call,0.04,1.2,365,0.5,0.29345063367879465,20.85083217793357,21.013118073026057,21.49484022469916,0.48172215167310384,2.2411059893321257,25.199358285589447
call,0.08,0.9,30,0.5,0.28784423403403214,0.04925717309383648,0.0680675563747532,0.11244236239276759,0.044374806018014384,39.464491027866046,29.77024123790183
call,0.08,0.9,91,0.5,0.2878026673580608,0.883722949468325,1.0342480048395526,1.1900495354030283,0.15580153056347568,13.092020620024957,49.13875004088401
call,0.08,0.9,365,0.5,0.28761353516292687,6.1665641365171275,6.420206563275904,6.522334255341022,0.10212769206511751,1.565815060482173,71.29390956083343
call,0.08,1.0,30,0.5,0.2875061851157813,0.7940019705031922,1.489330665022067,2.455000800386729,0.965670135364662,39.33481957368579,41.862082140517145
call,0.08,1.0,91,0.5,0.2874629817578884,2.93897157971157,3.6952086068240417,4.582918006236083,0.8877093994120413,19.369960322312433,46.00131822490357
call,0.08,1.0,365,0.5,0.2872663727809528,9.662834596958781,10.152273895492666,10.608130047978527,0.4558561524858611,4.297233823719275,51.776330670574765
call,0.08,1.2,30,0.5,0.2868882194175827,9.43139679524782,16.666666666666657,16.838776381950353,0.17210971528369612,1.022103455617964,97.67651011711806
call,0.08,1.2,91,0.5,0.2868419759171692,11.424542326063381,16.666666666666657,17.312973176895376,0.6463065102287189,3.7330763677912477,89.0241300848867
call,0.08,1.2,365,0.5,0.28663147329143945,17.797209031803533,19.118089337604303,20.671921508638643,1.5538321710343403,7.516631535123648,45.94825800648355
put,0.02,0.9,30,0.5,0.29704463538125825,12.974956619799812,12.974956643888188,13.13002582482971,0.15506918094152233,1.1810272349067028,1.5533951911267433e-5
put,0.02,0.9,91,0.5,0.2970347237721357,13.75127371611805,13.751345958881227,14.06842906447877,0.3170831055975434,2.253862916351785,0.02277835248601516
put,0.02,0.9,365,0.5,0.29698966203258714,16.369830969598233,17.05400795273721,17.296689609115568,0.24268165637835892,1.4030526179440874,73.81675629578892
put,0.02,1.0,30,0.5,0.2969650698268984,4.242858532789995,4.242858491950809,4.28295622054949,0.040097728598681215,0.9362161678490564,0.0
put,0.02,1.0,91,0.5,0.2969548000374076,6.262063284304894,6.262067889683802,6.382961945285626,0.12089405560182342,1.8940118496415952,0.0038092885984775367
put,0.02,1.0,365,0.5,0.2969081061139296,10.131331617657985,10.477607082466577,10.653946480319945,0.1763393978533685,1.6551556569117747,66.25825049154238
put,0.02,1.2,30,0.5,0.2968203281528702,0.07866428495803435,0.07866430666990576,0.07897638257685329,0.00031207590694752596,0.3951509258401896,0.006956756509078968
put,0.02,1.2,91,0.5,0.2968094010679,0.8082084579586635,0.8082084963003757,0.8178972052228397,0.009688708922463984,1.1845876059478957,0.00039573446601664304
put,0.02,1.2,365,0.5,0.2967597114145638,3.709245840466881,3.8007090964258765,3.862728329538214,0.0620192331123377,1.605581025154623,59.59198115199096
