model,t,boundary
cash jump,0.0,NaN
cash jump,0.0003112547671574915,NaN
cash jump,0.000622509534314983,NaN
cash jump,0.0009337643014724745,NaN
cash jump,0.001245019068629966,NaN
cash jump,0.0015562738357874576,NaN
cash jump,0.001867528602944949,NaN
cash jump,0.0021787833701024406,NaN
cash jump,0.002490038137259932,NaN
cash jump,0.0028012929044174237,NaN
cash jump,0.0031125476715749153,NaN
cash jump,0.003423802438732407,NaN
cash jump,0.003735057205889898,NaN
cash jump,0.0040463119730473895,NaN
cash jump,0.004357566740204881,NaN
cash jump,0.004668821507362373,NaN
cash jump,0.004980076274519864,NaN
cash jump,0.005291331041677356,NaN
cash jump,0.005602585808834847,NaN
cash jump,0.005913840575992339,NaN
cash jump,0.0062250953431498305,NaN
cash jump,0.006536350110307322,NaN
cash jump,0.006847604877464814,NaN
cash jump,0.007158859644622305,NaN
cash jump,0.007470114411779796,NaN
cash jump,0.0077813691789372875,NaN
cash jump,0.008092623946094779,NaN
cash jump,0.008403878713252272,NaN
cash jump,0.008715133480409762,NaN
cash jump,0.009026388247567255,NaN
cash jump,0.009337643014724745,NaN
cash jump,0.009648897781882238,NaN
cash jump,0.009960152549039729,NaN
cash jump,0.01027140731619722,NaN
cash jump,0.010582662083354712,NaN
cash jump,0.010893916850512202,NaN
cash jump,0.011205171617669695,NaN
cash jump,0.011516426384827185,NaN
cash jump,0.011827681151984678,NaN
cash jump,0.012138935919142169,NaN
cash jump,0.012450190686299661,NaN
cash jump,0.012761445453457152,NaN
cash jump,0.013072700220614644,NaN
cash jump,0.013383954987772135,NaN
cash jump,0.013695209754929627,NaN
cash jump,0.014006464522087118,NaN
cash jump,0.01431771928924461,NaN
cash jump,0.014628974056402101,NaN
cash jump,0.014940228823559592,NaN
cash jump,0.015251483590717084,NaN
cash jump,0.015562738357874575,NaN
cash jump,0.015873993125032067,NaN
cash jump,0.016185247892189558,NaN
cash jump,0.01649650265934705,NaN
cash jump,0.016807757426504543,NaN
cash jump,0.017119012193662034,NaN
cash jump,0.017430266960819524,NaN
cash jump,0.017741521727977015,NaN
cash jump,0.01805277649513451,NaN
cash jump,0.018364031262292,NaN
cash jump,0.01867528602944949,NaN
cash jump,0.01898654079660698,NaN
cash jump,0.019297795563764476,NaN
cash jump,0.019609050330921966,NaN
cash jump,0.019920305098079457,NaN
cash jump,0.020231559865236948,NaN
cash jump,0.02054281463239444,NaN
cash jump,0.020854069399551933,NaN
cash jump,0.021165324166709423,NaN
cash jump,0.021476578933866914,NaN
cash jump,0.021787833701024405,NaN
cash jump,0.0220990884681819,NaN
cash jump,0.02241034323533939,NaN
cash jump,0.02272159800249688,NaN
cash jump,0.02303285276965437,NaN
cash jump,0.023344107536811865,NaN
cash jump,0.023655362303969356,NaN
cash jump,0.023966617071126847,NaN
cash jump,0.024277871838284337,NaN
cash jump,0.02458912660544183,NaN
cash jump,0.024900381372599322,NaN
cash jump,0.025211636139756813,NaN
cash jump,0.025522890906914304,NaN
cash jump,0.025834145674071794,NaN
cash jump,0.02614540044122929,NaN
cash jump,0.02645665520838678,NaN
cash jump,0.02676790997554427,NaN
cash jump,0.02707916474270176,NaN
cash jump,0.027390419509859255,NaN
cash jump,0.027701674277016745,NaN
cash jump,0.028012929044174236,NaN
cash jump,0.028324183811331727,NaN
cash jump,0.02863543857848922,NaN
cash jump,0.02894669334564671,NaN
cash jump,0.029257948112804202,NaN
cash jump,0.029569202879961693,NaN
cash jump,0.029880457647119184,NaN
cash jump,0.030191712414276678,NaN
cash jump,0.03050296718143417,NaN
cash jump,0.03081422194859166,NaN
cash jump,0.03112547671574915,NaN
cash jump,0.03143673148290664,NaN
cash jump,0.031747986250064135,NaN
cash jump,0.03205924101722163,NaN
cash jump,0.032370495784379116,NaN
cash jump,0.03268175055153661,NaN
cash jump,0.0329930053186941,NaN
cash jump,0.03330426008585159,NaN
cash jump,0.033615514853009086,NaN
cash jump,0.03392676962016657,NaN
cash jump,0.03423802438732407,NaN
cash jump,0.03454927915448156,NaN
cash jump,0.03486053392163905,NaN
cash jump,0.03517178868879654,NaN
cash jump,0.03548304345595403,NaN
cash jump,0.035794298223111524,NaN
cash jump,0.03610555299026902,NaN
cash jump,0.036416807757426506,NaN
cash jump,0.036728062524584,NaN
cash jump,0.03703931729174149,NaN
cash jump,0.03735057205889898,NaN
cash jump,0.037661826826056476,NaN
cash jump,0.03797308159321396,NaN
cash jump,0.03828433636037146,NaN
cash jump,0.03859559112752895,NaN
cash jump,0.03890684589468644,NaN
cash jump,0.03921810066184393,NaN
cash jump,0.03952935542900142,NaN
cash jump,0.039840610196158914,NaN
cash jump,0.04015186496331641,NaN
cash jump,0.040463119730473895,NaN
cash jump,0.04077437449763139,NaN
cash jump,0.04108562926478888,NaN
cash jump,0.04139688403194637,NaN
cash jump,0.041708138799103865,NaN
cash jump,0.04201939356626135,NaN
cash jump,0.04233064833341885,NaN
cash jump,0.04264190310057634,NaN
cash jump,0.04295315786773383,NaN
cash jump,0.04326441263489132,NaN
cash jump,0.04357566740204881,NaN
cash jump,0.043886922169206304,NaN
cash jump,0.0441981769363638,NaN
cash jump,0.044509431703521285,NaN
cash jump,0.04482068647067878,NaN
cash jump,0.045131941237836266,NaN
cash jump,0.04544319600499376,NaN
cash jump,0.045754450772151255,NaN
cash jump,0.04606570553930874,NaN
cash jump,0.046376960306466236,NaN
cash jump,0.04668821507362373,NaN
cash jump,0.04699946984078122,NaN
cash jump,0.04731072460793871,NaN
cash jump,0.0476219793750962,NaN
cash jump,0.04793323414225369,NaN
cash jump,0.04824448890941119,NaN
cash jump,0.048555743676568675,NaN
cash jump,0.04886699844372617,NaN
cash jump,0.04917825321088366,NaN
cash jump,0.04948950797804115,NaN
cash jump,0.049800762745198644,NaN
cash jump,0.05011201751235613,NaN
cash jump,0.050423272279513626,NaN
cash jump,0.05073452704667112,NaN
cash jump,0.05104578181382861,NaN
cash jump,0.0513570365809861,NaN
cash jump,0.05166829134814359,NaN
cash jump,0.05197954611530108,NaN
cash jump,0.05229080088245858,NaN
cash jump,0.052602055649616064,NaN
cash jump,0.05291331041677356,NaN
cash jump,0.05322456518393105,NaN
cash jump,0.05353581995108854,NaN
cash jump,0.053847074718246034,NaN
cash jump,0.05415832948540352,NaN
cash jump,0.054469584252561015,NaN
cash jump,0.05478083901971851,NaN
cash jump,0.055092093786876,NaN
cash jump,0.05540334855403349,NaN
cash jump,0.05571460332119098,NaN
cash jump,0.05602585808834847,NaN
cash jump,0.056337112855505966,NaN
cash jump,0.056648367622663454,NaN
cash jump,0.05695962238982095,NaN
cash jump,0.05727087715697844,NaN
cash jump,0.05758213192413593,NaN
cash jump,0.05789338669129342,NaN
cash jump,0.05820464145845091,NaN
cash jump,0.058515896225608405,NaN
cash jump,0.0588271509927659,NaN
cash jump,0.059138405759923386,NaN
cash jump,0.05944966052708088,NaN
cash jump,0.05976091529423837,NaN
cash jump,0.06007217006139586,NaN
cash jump,0.060383424828553356,NaN
cash jump,0.06069467959571084,NaN
cash jump,0.06100593436286834,NaN
cash jump,0.06131718913002583,NaN
cash jump,0.06162844389718332,NaN
cash jump,0.06193969866434081,NaN
cash jump,0.0622509534314983,NaN
cash jump,0.0625622081986558,NaN
cash jump,0.06287346296581328,NaN
cash jump,0.06318471773297078,NaN
cash jump,0.06349597250012827,NaN
cash jump,0.06380722726728576,NaN
cash jump,0.06411848203444326,NaN
cash jump,0.06442973680160075,NaN
cash jump,0.06474099156875823,NaN
cash jump,0.06505224633591572,NaN
cash jump,0.06536350110307322,NaN
cash jump,0.06567475587023071,NaN
cash jump,0.0659860106373882,NaN
cash jump,0.0662972654045457,NaN
cash jump,0.06660852017170318,NaN
