model,call,put,book_call,book_put,call_diff,put_diff
European (Black),3.3762209199897093,8.891463368714781,3.376221,8.891463,-8.001029083715139e-8,3.6871478137356917e-7
constant yield,3.9998574381894896,8.891463365232408,3.99914,8.890554,0.0007174381894894388,0.0009093652324079216
proportional jump,4.744395142625493,9.139852635636224,4.744712,9.139456,-0.00031685737450715123,0.0003966356362248291
cash jump (calibrated),4.563931429028644,9.15399310839264,4.564396,9.153665,-0.0004645709713564372,0.0003281083926403028
cash jump (uncalibrated),4.7242809816744895,9.325314767025189,NaN,NaN,NaN,NaN
