days,divfrac,tfrac,moneyness,exact,lattice_bp,fd_bp
91,0.01,0.6,1.0,6.092919921226158,0.0058833402126724,0.01439236823180904
91,0.01,0.6,1.1,2.2260925243691445,0.012266789365480701,0.01259398918733422
91,0.01,0.85,0.9,13.827572418093766,0.001854454195792332,0.011076810964519299
91,0.01,0.85,1.0,6.106757641949536,0.00817241196270393,0.014378136751556702
91,0.01,0.85,1.1,2.2378936224081594,0.015067583872051446,0.012595312270679388
91,0.02,0.25,0.9,14.598856347170438,0.006584769261810086,0.010431881774463359
91,0.02,0.25,1.0,6.602653653611921,0.005906318229471399,0.014321195493806605
91,0.02,0.25,1.1,2.4823378816654436,0.01783795742733292,0.013004015723936805
91,0.02,0.6,0.9,14.625378703058328,0.00022468251693366861,0.010495277644494453
91,0.02,0.6,1.0,6.641402193063649,0.012392854279085097,0.014285102503721121
91,0.02,0.6,1.1,2.5160957970754345,0.0254342902505781,0.01299589465298445
91,0.02,0.85,0.9,14.64360476276584,0.004069258637681017,0.010535804242988136
91,0.02,0.85,1.0,6.66874241351534,0.016849185163761618,0.01425904403304857
91,0.02,0.85,1.1,2.5406246610462793,0.031176252729901027,0.012991110504734539
182,0.005,0.25,0.9,15.361050842830593,0.00036449127331968654,0.013053714327480094
182,0.005,0.25,1.0,8.117691600068763,0.0011826978121373408,0.0146390987944626
182,0.005,0.25,1.1,3.975894942874854,0.002670596227298012,0.013605263501359762
182,0.005,0.6,0.9,15.372967960784724,0.0011718589148669426,0.013056571086366282
182,0.005,0.6,1.0,8.131496944326745,0.002813005243102508,0.014628937752385605
182,0.005,0.6,1.1,3.9882569885051233,0.004505663309375321,0.013600157997063404
182,0.005,0.85,0.9,15.381189260970743,0.0021805064936149914,0.013057988879065178
182,0.005,0.85,1.0,8.141320411791591,0.0039573319397753276,0.014621907883845993
182,0.005,0.85,1.1,3.9973093639230948,0.005881513930311755,0.013596861017555325
182,0.01,0.25,0.9,15.710435237163336,0.0006398271465285364,0.012908949091689529
182,0.01,0.25,1.0,8.365497240130388,0.002460452770661069,0.01462126798850851
182,0.01,0.25,1.1,4.131556089003115,0.005438605032244268,0.013713873300042362
182,0.01,0.6,0.9,15.733956010524647,0.0024455660800407255,0.012916686336944002
182,0.01,0.6,1.0,8.393101496073344,0.005713496797465976,0.014601461582608844
182,0.01,0.6,1.1,4.156593220252144,0.009096338565160584,0.01370245815673066
182,0.01,0.85,0.9,15.750145414232787,0.004469512538032148,0.012921006593709837
182,0.01,0.85,1.0,8.412684764060833,0.007981008206147748,0.01458742625491227
182,0.01,0.85,1.1,4.1748726436472685,0.011819696842294463,0.013695067409826346
182,0.02,0.25,0.9,16.422142907868473,0.000937872239734951,0.012602318977014986
182,0.02,0.25,1.0,8.876496908312731,0.005331662245759366,0.014567286322131272
182,0.02,0.25,1.1,4.456995109422697,0.011309264521664742,0.013910691144948598
182,0.02,0.6,0.9,16.467870797347526,0.005245153971507055,0.012625998823611305
182,0.02,0.6,1.0,8.931569928441478,0.011857546858192111,0.014530373871035413
182,0.02,0.6,1.1,4.508236168503526,0.01861181530543236,0.013883502650065733
182,0.02,0.85,0.9,16.499210926333735,0.009317175786724499,0.012639552812930744
